repotype,reponame,repourl
git,amo-olympia-js,https://github.com/mozilla/olympia
git,amo-olympia,https://github.com/mozilla/olympia
svn,browser-id-client,http://svn.mozilla.org/projects/l10n-misc/trunk/browserid/
svn,browser-id-big-tent-gmail,http://svn.mozilla.org/projects/l10n-misc/trunk/browserid-bigtent/
svn,browser-id-big-tent,http://svn.mozilla.org/projects/l10n-misc/trunk/browserid-bigtent/
svn,browser-id,http://svn.mozilla.org/projects/l10n-misc/trunk/browserid/
git,find-my-device-client,https://github.com/mozilla-services/FindMyDevice-l10n
git,find-my-device-server,https://github.com/mozilla-services/FindMyDevice-l10n
git,firefox-account-client,https://github.com/mozilla/fxa-content-server-l10n
git,firefox-account-server,https://github.com/mozilla/fxa-content-server-l10n
svn,firefox-affiliates,http://svn.mozilla.org/projects/l10n-misc/trunk/affiliates/
svn,firefox-flicks,http://svn.mozilla.org/projects/l10n-misc/trunk/firefoxflicks/
git,firefox-hello,https://github.com/mozilla/loop-client-l10n
svn,firefox-input,http://svn.mozilla.org/projects/l10n-misc/trunk/input/
git,marketplace-js,https://github.com/mozilla/zamboni
git,marketplace-commbadge,https://github.com/mozilla/commbadge
git,marketplace-fireplace,https://github.com/mozilla/fireplace
git,marketplace-spartacus,https://github.com/mozilla/spartacus
git,marketplace-stats,https://github.com/mozilla/marketplace-stats
git,marketplace-zippy,https://github.com/mozilla/zippy
git,marketplace,https://github.com/mozilla/zamboni
svn,mdn-promote,http://svn.mozilla.org/projects/mdn/trunk/
svn,mdn,http://svn.mozilla.org/projects/mdn/trunk/
svn,mozillians,http://svn.mozilla.org/projects/l10n-misc/trunk/mozillians/
svn,sumo-buddyup,http://svn.mozilla.org/projects/sumo/locales
svn,sumo-yaocho,http://svn.mozilla.org/projects/sumo/locales
svn,sumo,http://svn.mozilla.org/projects/sumo/locales
